Fecha,Ocupacion,diez_dias,quince_dias,veinte_dias,treinta_dias,cienmil_10dias,cienmil_15dias,cienmil_20dias,cienmil_30dias,Estado
2020-06-21,39.0,194.0,282.0,13.04944550352143,574.0,6.787111066174683,9.865800621965262,0.45653626796079255,20.081452329815814,13
2020-06-28,39.0,210.0,301.0,13.889088109646135,581.0,7.346872803591152,10.530517685147318,0.48591125571162114,20.32634808993552,13
2020-07-04,35.0,204.0,309.0,14.098998761177311,580.0,7.136962152059977,10.810398553855553,0.49325500264932826,20.291362981346992,13
2020-07-13,38.0,214.0,317.0,14.763715824359368,618.0,7.486813237945269,11.090279422563787,0.5165102012854008,21.620797107711105,13
2020-07-20,39.0,249.0,364.0,15.95320951636936,665.0,8.711292038543794,12.734579526224664,0.558124767265741,23.26509721137198,13
2020-07-28,41.0,284.0,401.0,18.08730114026965,718.0,9.93577083914232,14.029028544000248,0.6327861944657635,25.119307966564033,13
2020-08-04,40.0,275.0,415.0,18.996913963571416,779.0,9.620904861845556,14.518820064239657,0.6646090978624944,27.253399590464323,13
2020-05-01,5.0,22.0,33.0,0.5481316994759606,51.0,0.2804394741504915,0.4206592112257372,0.006987171162102438,0.6501096900761393,14
2020-05-08,6.0,38.0,48.0,0.7520876806763181,76.0,0.4843954553508489,0.6118679436010723,0.009587048803814974,0.9687909107016978,14
2020-05-15,9.0,69.0,91.0,1.3257138778023232,125.0,0.8795601689265414,1.159999643077033,0.016899204671131474,1.5934061031277924,14
2020-05-22,10.0,88.0,126.0,1.8865928261033056,175.0,1.121757896601966,1.6061533519528148,0.024048868185840937,2.2307685443789094,14
2020-05-31,16.0,150.0,204.0,3.021097971530294,294.0,1.9120873237533509,2.600438760304557,0.038510687567866915,3.7476911545565676,14
2020-06-07,24.0,203.0,288.0,4.334064600507595,418.0,2.587691511479535,3.671207661606434,0.05524739988639136,5.328350008859338,14
2020-06-14,31.0,295.0,408.0,6.360877163686147,597.0,3.76043840338159,5.200877520609114,0.08108368395090966,7.610107548538337,14
2020-06-21,25.0,324.0,491.0,7.610107548538338,772.0,4.130108619307238,6.258899173085969,0.09700793450639895,9.840876092917247,14
2020-06-28,24.0,308.0,497.0,8.400436975689722,891.0,3.9261526381068808,6.335382666036103,0.10708246036803502,11.357798703094904,14
