FECHA,REGISTROS_ACUM,REGISTROS,MEDIA_MOVIL
16/02/2021,2004575,8683,8260.571429
17/02/2021,2013563,8988,7953.428571
18/02/2021,2022662,9099,7728
19/02/2021,2030491,7829,7362.428571
20/02/2021,2038276,7785,7083
21/02/2021,2041380,3104,6940.857143
22/02/2021,2043632,2252,6820
23/02/2021,2052266,8634,6813
24/02/2021,2060908,8642,6763.571429
25/02/2021,2069370,8462,6672.571429
26/02/2021,2076882,7512,6627.285714
27/02/2021,2084128,7246,6550.285714
28/02/2021,2086938,2810,6508.285714
01/03/2021,2089281,2343,6521.285714
02/03/2021,2097194,7913,6418.285714
03/03/2021,2104987,7793,6297
04/03/2021,2112508,7521,6162.571429
05/03/2021,2119305,6797,6060.428571
06/03/2021,2125866,6561,5962.571429
07/03/2021,2128600,2734,5951.714286
08/03/2021,2130477,1877,5885.142857
09/03/2021,2137884,7407,5812.857143
10/03/2021,2144558,6674,5653
11/03/2021,2151028,6470,5502.857143
12/03/2021,2157771,6743,5495.142857
13/03/2021,2163875,6104,5429.857143
14/03/2021,2166290,2415,5384.285714
15/03/2021,2167729,1439,5321.714286
16/03/2021,2169007,1278,4446.142857
17/03/2021,2175462,6455,4414.857143
18/03/2021,2182188,6726,4451.428571
19/03/2021,2187910,5722,4305.571429
20/03/2021,2193639,5729,4252
21/03/2021,2195772,2133,4211.714286
22/03/2021,2197160,1388,4204.428571
23/03/2021,2203041,5881,4862
24/03/2021,2208755,5714,4756.142857
25/03/2021,2214542,5787,4622
26/03/2021,2219845,5303,4562.142857
27/03/2021,2224767,4922,4446.857143
28/03/2021,2226550,1783,4396.857143
29/03/2021,2227842,1292,4383.142857
30/03/2021,2232910,5068,4267
31/03/2021,2238887,5977,4304.571429
01/04/2021,2244268,5381,4246.571429
02/04/2021,2247357,3089,3930.285714
03/04/2021,2249195,1838,3489.714286
04/04/2021,2250458,1263,3415.428571
05/04/2021,2251705,1247,3409
06/04/2021,2256380,4675,3352.857143
07/04/2021,2261879,5499,3284.571429
08/04/2021,2267019,5140,3250.142857
09/04/2021,2272064,5045,3529.571429
10/04/2021,2278420,6356,4175
11/04/2021,2280213,1793,4250.714286
12/04/2021,2281840,1627,4305
13/04/2021,2286133,4293,4250.428571
14/04/2021,2291246,5113,4195.285714
15/04/2021,2295435,4189,4059.428571
16/04/2021,2299939,4504,3982.142857
17/04/2021,2304096,4157,3668
18/04/2021,2305602,1506,3627
19/04/2021,2306910,1308,3581.428571
20/04/2021,2311172,4262,3577
21/04/2021,2315811,4639,3509.285714
22/04/2021,2319519,3708,3440.571429
23/04/2021,2323430,"3,911",3355.857143
24/04/2021,2326738,"3,308",3234.571429
25/04/2021,2328391,"1,653",3255.571429
26/04/2021,2329534,1143,3232
27/04/2021,2333126,3592,3136.285714
28/04/2021,2336944,3818,3019
29/04/2021,2340934,3990,3059
30/04/2021,2344755,3821,3046.428571
01/05/2021,2347780,3025,3006
02/05/2021,2348873,1093,2926
03/05/2021,2349900,1027,2909.428571
04/05/2021,2352964,3064,2834
05/05/2021,2355985,3021,2720.142857
06/05/2021,2358831,2846,2556.714286
07/05/2021,2361874,3043,2445.571429
08/05/2021,2364617,2743,2405.285714
09/05/2021,2365792,1175,2417
10/05/2021,2366496,704,2370.857143
11/05/2021,2368393,1897,2204.142857
